Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
What being a pilot taught me — Medium https://t.co/boddAQJ8bc,Mon Dec 21 04:35:24 +0000 2015,en,0,False,1,False,,David Austin,sunairventures
RT @highway1io: Make. Real. Fast. Accelerate now: https://t.co/OUpfpgquEc https://t.co/UJjdrWopRD,Tue Oct 20 19:36:43 +0000 2015,en,6,False,0,False,,David Austin,sunairventures
RT @realDavidAustin: And the PCH Hardware Hackathon judges are ready @finchlarson and @noupside  http://t.co/pPYyxrc5yl,Sun Sep 20 18:25:55 +0000 2015,en,1,False,0,False,,David Austin,sunairventures
"RT @getchute: Vote
#social engagement for #brands w/@thekenyeung @VentureBeat &amp; @ranvir! http://t.co/IOKNHwaAnd #SXSW #PanelPicker http://t…",Tue Aug 18 18:31:02 +0000 2015,fr,2,False,0,False,,David Austin,sunairventures
Better than I remember the talk... https://t.co/yPfT0iLxmk,Thu Jul 23 18:00:23 +0000 2015,en,0,False,0,False,,David Austin,sunairventures
"RT @flamestower: Keeping charged @PCH_Intl in SF - lookin' good! Essential #energy #design for power outages. 

http://t.co/PvjUH755k8 http…",Tue Jul 14 17:18:47 +0000 2015,en,4,False,0,False,,David Austin,sunairventures
RT @pch_david: Highway1 #DemoDay gets started with @liamcasey (@ PCH Innovation Hub) http://t.co/DWTqHyVzh4 http://t.co/y7l7pOZ7W4,Tue Jun 02 17:22:48 +0000 2015,en,2,False,0,False,,David Austin,sunairventures
"Hardware Entrepreneurs, apply to @highway1io’s Fall 2015 program by May 29. Join us to build a great company:  http://t.co/NdQphs3HR0",Thu Apr 23 02:17:21 +0000 2015,en,0,False,0,False,,David Austin,sunairventures
"""Trio Lets You Mash Up Your Own Media With GIFs, Vines, Music And More | TechCrunch"" #feedly http://t.co/DZGKKeYxyC",Fri Apr 17 23:22:13 +0000 2015,en,0,False,0,False,,David Austin,sunairventures
Does your #Startup use technology to solve the world’s biggest problems? Apply now for @SU_Labs Startup Accelerator http://t.co/hXoLBSbp6n,Thu Apr 16 22:20:58 +0000 2015,en,1,False,1,False,,David Austin,sunairventures
"For hardware startups, it's getting less hard - CNET https://t.co/nHMqsWFt77",Sat Apr 11 17:24:35 +0000 2015,en,0,False,0,False,,David Austin,sunairventures
RT @pch_david: @brady at #hhsxsw at #SXSW http://t.co/uf4exH7bNi,Sat Mar 14 00:53:08 +0000 2015,en,2,False,0,False,,David Austin,sunairventures
RT @joeperrott: @brady of @highway1io and @PCH_Intl talking about bringing #hardware from idea to market #SWSX2015 http://t.co/5kDVDJ8DWP,Sat Mar 14 00:52:51 +0000 2015,en,6,False,0,False,,David Austin,sunairventures
Excited for the #HHSXSW tonight http://t.co/UcBpKEALdG sponsored in part by @PCH_Intl come by and say hi!,Fri Mar 13 21:37:26 +0000 2015,en,0,False,0,False,,David Austin,sunairventures
"""Yahoo and Flickr mix social computing, geolocation and computer vision to boost image recognition tech"" http://t.co/jgH5Q2WbDN",Thu Nov 27 19:09:12 +0000 2014,en,0,False,0,False,,David Austin,sunairventures
"Okay, I'm officially back on caffeine....and it's GREAT! #awake",Sat Jul 19 00:49:45 +0000 2014,en,0,False,0,False,,David Austin,sunairventures
RT @dtboyd: Well even with a glitch - you win. @piepdx application deadline extended till May 6th.. get on it Keyboard Cowboys http://t.co/…,Thu May 01 23:52:27 +0000 2014,en,2,False,0,False,,David Austin,sunairventures
RT @PCH_Intl: PCH opens applications for next phase of incubator programme http://t.co/lVs7YHjUJe via @IrishTimes @highway1io,Thu May 01 23:50:33 +0000 2014,en,3,False,0,False,,David Austin,sunairventures
"""Yahoo buys image recognition firm IQ Engines to reorganize Flickr"" http://t.co/qLLCBSkALq",Sun Aug 25 01:17:30 +0000 2013,en,0,False,0,False,,David Austin,sunairventures
"""Yahoo Ingests IQ Engines"" http://t.co/IJdBAQXbz6",Sat Aug 24 21:10:28 +0000 2013,en,0,False,0,False,,David Austin,sunairventures
Congratulations to the @IQEngines team on their acquisition into the @Yahoo @Flickr group. Awesome possibilities!,Sat Aug 24 15:49:50 +0000 2013,en,1,False,0,False,,David Austin,sunairventures
"""Yahoo acquires IQ Engines to shut it down and add its image recognition service to Flickr"" http://t.co/98EiTqZUA6",Sat Aug 24 14:32:05 +0000 2013,en,0,False,0,False,,David Austin,sunairventures
"""Yahoo Acquires Image-Recognition Startup IQ Engines To Improve Flickr Photo Organization &amp; Search"" http://t.co/UzZ20YCg6X",Sat Aug 24 14:29:40 +0000 2013,en,2,False,1,False,,David Austin,sunairventures
Does your #startup provide great technology for media? Apply to @themediacamp &amp; work with @TBSInc @WarnerBrosEnt http://t.co/lVWSRMED12,Thu May 02 16:52:27 +0000 2013,en,1,False,0,False,,David Austin,sunairventures
Calling all media tech entrepreneurs looking to work with @WarnerBrosEnt and @TBSInc! Apply to @themediacamp by 5/10: http://t.co/4vCD6eoqZn,Tue Apr 30 23:53:25 +0000 2013,en,0,False,0,False,,David Austin,sunairventures
"RT @om: @ericschmidt @FWD_us sorry to say it but it is your version of tech community, not all of it http://t.co/gjRWodeZzJ",Sat Apr 13 03:41:11 +0000 2013,en,13,False,0,False,,David Austin,sunairventures
