Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @ankurthakkar: this is going to give me nightmares for days. https://t.co/qAvVXvDe8v,Tue May 03 15:15:24 +0000 2016,en,357,False,0,False,,Mark Surfas,Surfy
RT @ShooterMcGavin_: #GoT,Mon May 02 02:05:05 +0000 2016,und,72,False,0,False,,Mark Surfas,Surfy
Dammit. Are we tipping on takeout?  I can never remember.,Mon May 02 02:02:15 +0000 2016,en,0,False,0,False,,Mark Surfas,Surfy
Door dash says that there are no available drivers.  Calmly entering crisis mode.  Gonna figure this out.  I feed my family without fail.,Mon May 02 00:35:47 +0000 2016,en,0,False,0,False,,Mark Surfas,Surfy
RT @paulg: I bet there will be a big overlap between states that ban Tesla sales and those that ban self-driving trucks. https://t.co/7j1pH…,Fri Apr 29 03:53:05 +0000 2016,en,189,False,0,False,,Mark Surfas,Surfy
Game of thrones vs Love Boat.  Discuss.,Thu Apr 14 04:53:51 +0000 2016,en,0,False,0,False,,Mark Surfas,Surfy
A guy who did not win the presidency tearing apart another candidate.   This will backfire.,Thu Mar 03 23:06:05 +0000 2016,en,0,False,1,False,,Mark Surfas,Surfy
Political party bosses pretend it's not true so we can stick to their plastic candidates.  #timeshavechanged,Thu Mar 03 22:02:26 +0000 2016,en,0,False,0,False,,Mark Surfas,Surfy
"The good news: we care a lot less about ""skeletons in the closet"" these days.  We get it:  no one is perfect.",Thu Mar 03 22:00:11 +0000 2016,en,0,False,0,False,,Mark Surfas,Surfy
My friend and fellow Gennext member Michael Davidson puts a GN hat on the Rwandan President.  Ballsy move! https://t.co/S7zGPGuREO,Tue Mar 01 18:26:52 +0000 2016,en,0,False,1,False,,Mark Surfas,Surfy
Oh that was spirited all right.  Mean spirited. https://t.co/V35fl1PrvY,Fri Feb 26 17:05:31 +0000 2016,en,0,False,1,False,,Mark Surfas,Surfy
I went into work today.  And worked all day.  Unreal.,Fri Feb 26 01:08:00 +0000 2016,en,0,False,0,False,,Mark Surfas,Surfy
"I am probably the only person that truly loves Bowies Cat People theme song. See these eyes so green...
https://t.co/XhMs5VQj5o",Tue Jan 12 00:20:54 +0000 2016,en,1,False,1,False,,Mark Surfas,Surfy
"RT @TedAtCapbells: Download @CapitolBells -- It's a social network for politics and policy, and it taps into Congress in real-time. https:/…",Mon Jan 11 22:26:35 +0000 2016,en,2,False,0,False,,Mark Surfas,Surfy
"This still makes me laugh.  A lot.

https://t.co/bHOHWAuRYB",Tue Jan 05 03:42:03 +0000 2016,en,0,False,1,False,,Mark Surfas,Surfy
City doorbells are tiny works of under appreciated living art. You're welcome. @ Soho Downtown Manhattan https://t.co/fKdVaXFDjx,Thu Oct 29 22:51:10 +0000 2015,en,0,False,0,False,,Mark Surfas,Surfy
"RT @Bill_Gross: ""Self-driving cars will turn 50 billion hrs of boring driving time (8% of GDP) into 50 billion new hrs in a moving living r…",Thu Oct 29 15:45:31 +0000 2015,en,288,False,0,False,,Mark Surfas,Surfy
"Crazy shop with a life size scanner that creates your own doll, err, 3D model!  I will be sending one… https://t.co/WDfjyasHTq",Thu Oct 29 15:44:31 +0000 2015,en,0,False,0,False,,Mark Surfas,Surfy
This machine just didn't feel right to me.  Maybe in the daylight. https://t.co/cJvUGJtaJV,Wed Oct 28 18:57:56 +0000 2015,en,0,False,0,False,,Mark Surfas,Surfy
This thing is incredible. Get one. Glowforge 3D laser printer!  Get $100 off their 50%-off launch price: http://t.co/N1BZFI7tUC,Wed Oct 14 20:58:58 +0000 2015,en,0,False,0,False,,Mark Surfas,Surfy
