Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Falling asleep watching Faraday Future launch,Tue Jan 05 04:18:22 +0000 2016,en,0,False,0,False,,Myles H. Kitchen,tech4cars
@LulaLeeFlash Fiore &amp; Sophia..your neighbors! http://t.co/iKSnigOPRD,Sun May 18 03:39:08 +0000 2014,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"@LulaLeeFlash 

Hi Lula and Lucy!  We're Fiore, and Sophia.  We're Iggys' too &amp; live up the hill behind you.  Come visit us!",Sun May 18 03:37:14 +0000 2014,en,0,False,0,False,,Myles H. Kitchen,tech4cars
4/17/2014 http://t.co/12G73nYJLS,Thu Apr 17 22:07:27 +0000 2014,und,0,False,0,False,,Myles H. Kitchen,tech4cars
"Report: Carbon Motors pulls out of Indiana plant, future uncertain http://t.co/pHp2jSX15C
Another one bites the dust.",Wed Apr 03 06:47:00 +0000 2013,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Green Cars Have a Dirty Little Secret http://t.co/rvqqbm02UE,Mon Mar 11 15:53:35 +0000 2013,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"YAWN....RT @CNET: 3D-printed car saves money, energy http://t.co/pzmg6qSZDU.",Fri Mar 01 03:21:57 +0000 2013,en,0,False,0,False,,Myles H. Kitchen,tech4cars
@TechCrunch @riptari  update on Raspberry Pi.  Mine arrived days ago and working to put it to use for vehicle data acquisition.,Fri Dec 28 02:35:09 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"Suzuki to Pull Out of U.S. Car Market http://t.co/ApGi9vQ7

Only the Samurai made any sense to me...",Tue Nov 06 17:03:23 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @tuaw_rss: iPad mini mounted in car dashboard http://t.co/MXfPH6al,Mon Nov 05 07:19:42 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"CEO of Electric-Car Network Steps Down http://t.co/ZA4DXKoi

Not surprised.",Wed Oct 03 15:40:47 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"RT @engadget: Garmin does new in-dash navigation tricks, steers 2013 Dodge and Chrysler models -  http://t.co/PxcSt3E5",Sat Sep 01 16:13:51 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Fisker Karma Hybrid Sets Itself On Fire And Burns While Owner Gets Groceries http://t.co/3jAPyE1P,Sat Aug 11 04:31:25 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Unlocking the Secrets of a Car Thief http://t.co/2Y9Qa1DP,Wed Jul 11 16:19:13 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"Mechanics, Car Makers at Odds on Repair Data http://t.co/FOfS0H3X",Wed Jul 11 16:07:09 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @TTAC: Your Tax Dollars At Stake: Battery Maker A123 Running Out Of Runway (http://t.co/Nowlzjxm),Sat Jul 07 15:07:36 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"RT @verge: Automatic braking and headlights reduce crashes, but warning systems may do little to help http://t.co/18WwjUte",Tue Jul 03 14:29:20 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"RT @engadget: Tesla Model S first drive: the sports sedan goes electric - http://t.co/ltCPO2D2

Impressive!  I want one!",Sat Jun 23 17:39:08 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Voices in the Cloud Come to Cars | Autopia | http://t.co/s3mnw8iv http://t.co/g2ezYjaQ,Fri Jun 22 18:14:02 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Perfect for Al Gore! http://t.co/ThGjFN2a,Thu Jun 21 15:51:18 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Are Electric-Car Batteries Already at $250 Per kWh? Analyst Says Yes http://t.co/JtfiFTln via @GreenCarReports,Thu Jun 21 14:40:20 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @TheRealMA: Ford Opens Its New Silicon Valley Lab http://t.co/eosMr6GO,Tue Jun 19 05:23:19 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Electrifying Victory for Audi's Hybrid http://t.co/8dpYOZrn,Mon Jun 18 15:36:14 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Asian Start-Up Acquires Saab Auto http://t.co/KnTUaxTB,Thu Jun 14 16:45:37 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @TheRealMA: SuperCruise is coming to Cadillacs...soon. How do you feel about cars driving themselves? http://t.co/T5h0b2Rj,Thu Jun 14 07:44:58 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Car Battery Start-Ups Fizzle http://t.co/7kXl9yKA,Thu May 31 15:58:26 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Solving the Electric Car Puzzle http://t.co/dgoTwlM7,Wed May 30 16:47:33 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @ForbesTech: 65% Of Hybrid Owners Don't Buy Another Hybrid http://t.co/Xx2bPCvW,Sun Apr 15 17:53:58 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"RT @MotorTrend: Traitors! Study Says Most #Hybrid Owners Wouldn’t Buy Another Hybrid http://t.co/3idcu32l. Uh Oh, trouble in Lectrikland!",Tue Apr 10 02:39:36 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"FYI, Chrysler Got Legal Shield in Chapter 11 http://t.co/lf3XJ1pD",Thu Apr 05 16:35:31 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Tesla Takes Luxurious Route to the Electric Car http://t.co/fxgAxKC7,Wed Mar 28 16:42:36 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Maker of Electric Vans Shuts http://t.co/2npESF07,Wed Mar 28 16:25:22 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"Hybrid Van Maker to Shut Down http://t.co/OF8vMLuS

Another one bites the dust!",Thu Mar 01 17:20:22 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"RT @cinnamon_carter: Tesla Roadsters Parked Without Being Plugged in Brick Themselves ina Week
http://t.co/dA4X4ZH0",Fri Feb 24 04:47:39 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"Unthinkable,Nuts, & Ugly Rims!
RT @WiredAutopia: This Toyota 2000GT EV conversion is a solar-powered sacrilege http://t.co/5YC4a1i0",Tue Jan 24 03:18:38 +0000 2012,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @CarConnection: Hate Your Navigation System? J.D. Power Says You're Not Alone http://t.co/8FAFHwSA,Thu Nov 24 07:53:45 +0000 2011,en,2,False,0,False,,Myles H. Kitchen,tech4cars
RT @TechCrunch: TomTom Finally Acknowledges It's Getting Out Of Devices; Shareholders Rejoice http://t.co/lbetENGd,Tue Oct 25 01:44:37 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @therealautoblog: Report: NHTSA investigating Mini Cooper S over engine fires http://t.co/y5LMKKEd,Tue Oct 18 04:33:07 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @AutoblogNews: Report: 2013 Ford Mustang to get gauge and track apps? http://t.co/uBnEKGzA,Fri Oct 07 06:59:49 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Check out: Confirmed: Ferrari testing hybrid powertrain in 599 prototype http://t.co/H3HMY92W via @therealautoblog,Fri Oct 07 06:39:21 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @AutoblogNews: Video: Stanford wiring up vintage sports cars and their drivers to help develop new cars http://t.co/tWQcDRWU,Thu Oct 06 14:34:29 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @therealautoblog: First Ride: 2012 Tesla Model S Beta http://t.co/SnLNxzAN,Wed Oct 05 06:04:46 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"5 Minute EV Charging Closer Than You Think http://t.co/I3TcO0Ij. Hmmmmmm, I might have to see this to believe?",Tue Oct 04 04:35:43 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
California Mandates Red Stickers Of Shame For Salvage Cars http://t.co/X7009D1L via @CarConnection,Sat Oct 01 04:49:21 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
@engadget  retweet,Mon Sep 26 15:20:51 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"@allthingsd  unless they add a WiFi hotspot, I doubt I'd upgrade",Mon Sep 26 15:17:07 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @TTAC: Review: 2012 Volkswagen Passat TDI SEL Premium (http://t.co/IFUue0g). YES!,Thu Aug 18 02:51:41 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"RT @AutoblogNews: Confirmed: BMW confirms M-tuned 5 Series diesel http://t.co/QH5UGUm.   NOW, we're talkin!",Thu Aug 18 02:50:26 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"http://t.co/QUXxw28 Google Robot Car Crashes, But Can It Out-Drive Humans?",Mon Aug 08 19:48:22 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
RT @therealautoblog: Hackers prove they can break into Subaru Outback via texting http://aol.it/qK7wod,Mon Aug 08 05:59:10 +0000 2011,en,0,False,1,False,,Myles H. Kitchen,tech4cars
Volkswagen Demonstrates Driverless Technology - KickingTires http://bit.ly/jxIVCa,Thu Jun 30 23:46:42 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Google looking to Nevada to develop legal driverless cars.    http://t.co/ZQdtouK,Mon May 16 17:56:33 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
http://lnkd.in/JAYh97 Most HUD's I've seen and tried are not very useful or compelling.  I'm with Mouhammad on the email/text issue....,Mon Apr 18 17:05:25 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
"http://lnkd.in/twSwSn The auto industry could learn much from Apple and the iPad, particularly regarding creating an open architecture...",Mon Apr 11 17:11:24 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
WSJ.com - BMW to Invest in Smartphone App Start-Up Firms http://on.wsj.com/hPv2Ue,Fri Apr 01 16:50:12 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
TomTom profits fall; Automotive segment key going forward http://j.mp/g8hDhr via @AddToAny,Mon Feb 21 18:41:10 +0000 2011,en,0,False,0,False,,Myles H. Kitchen,tech4cars
testing siri's voice app on iphone,Fri Apr 09 14:30:31 +0000 2010,en,0,False,0,False,,Myles H. Kitchen,tech4cars
This was inevitable.  Auto Mfgrs take note!   http://www.insideline.com/toyota/tacoma/soundman-installs-ipad-in-toyota-tacomas-dash.html,Wed Apr 07 16:41:00 +0000 2010,en,0,False,0,False,,Myles H. Kitchen,tech4cars
http://www.insideline.com/toyota/tacoma/soundman-installs-ipad-in-toyota-tacomas-dash.html,Wed Apr 07 14:17:14 +0000 2010,und,0,False,0,False,,Myles H. Kitchen,tech4cars
Is the connected car the next frontier in Auto Electronics/Telematics?  We can help you understand and navigate the issues.,Fri Mar 19 17:47:27 +0000 2010,en,0,False,0,False,,Myles H. Kitchen,tech4cars
Test new tech4cars tweets...,Thu Dec 10 00:07:23 +0000 2009,en,0,False,0,False,,Myles H. Kitchen,tech4cars
