Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Thank you to everyone for the happy birthday wishes. I am so blessed to have wonderful family, friends, teammates, and fans.",Mon Apr 11 17:00:10 +0000 2016,en,163,False,1059,False,,Mark Teixeira,teixeiramark25
RT @mrdougellin: Let's go @Yankees @jerryferrara @mrkevinconnolly @adriangrenier https://t.co/q6sPIOXeCX https://t.co/V5D9z4d97X,Mon Apr 04 21:59:51 +0000 2016,en,60,False,0,False,,Mark Teixeira,teixeiramark25
Love to see programs like @WrigtSport4kids.  We need to remember why kids play sports...to have FUN!,Thu Feb 18 19:25:03 +0000 2016,en,23,False,110,False,,Mark Teixeira,teixeiramark25
The GSB Interview: Mark Teixeira of the NY Yankees; Helping to Rebuild and Green NW Atlanta | GreenSportsBlog https://t.co/dKQNntB814,Wed Feb 17 19:29:21 +0000 2016,en,20,False,65,False,,Mark Teixeira,teixeiramark25
RT @PGATOUR: Unbelievable. #QuickHits https://t.co/9FRL62RmIy,Sun Jan 31 02:00:43 +0000 2016,en,278,False,0,False,,Mark Teixeira,teixeiramark25
RT @GTMBB: TOTAL TEAM EFFORT!!! Jackets knock off 4th-ranked Virginia 68-62 at McCamish! #TogetherWeSwarm https://t.co/RtsQTQ0EIR,Sat Jan 09 21:21:09 +0000 2016,en,237,False,0,False,,Mark Teixeira,teixeiramark25
Wow. @SHO_Billions is going to be a hit.,Fri Jan 08 03:52:00 +0000 2016,en,21,False,87,False,,Mark Teixeira,teixeiramark25
Excited for the @SHO_Billions premier party tonight. Series co-written by my good friend and fellow @greenwichfilm board member @DavidLevien,Thu Jan 07 19:38:42 +0000 2016,en,12,False,35,False,,Mark Teixeira,teixeiramark25
"Build Proctor Creek area from within
Well done @EmeraldCorridor, let's make a difference! https://t.co/VbiLhsbyXS",Wed Dec 30 14:45:06 +0000 2015,en,5,False,21,False,,Mark Teixeira,teixeiramark25
"RT @darrenrovell: Best Sports Vine Of 2015: 4-Year Old Eston James, ""The Bat Flip Kid"" https://t.co/8lWRveiVFu",Tue Dec 29 15:51:48 +0000 2015,en,1281,False,0,False,,Mark Teixeira,teixeiramark25
Honored to be a part of @MediaplanetUSA #DigestiveWellness campaign! Learn more about my gluten-free journey: https://t.co/iG3v0V4lyq,Fri Dec 18 18:34:31 +0000 2015,en,13,False,37,False,,Mark Teixeira,teixeiramark25
"Very proud of my friends from @EmeraldCorridor, doing great things for the environment and @Cityofatlanta. We would love your support!",Thu Dec 17 17:59:58 +0000 2015,en,10,False,45,False,,Mark Teixeira,teixeiramark25
We had a blast last night with the @greenwichfilm folks watching @thebigshort. Read the book years ago and loved the movie!,Wed Dec 16 15:57:33 +0000 2015,en,11,False,58,False,,Mark Teixeira,teixeiramark25
Please help #GIVE2VETERANS by sharing this post.  @LovetheGive will donate $1 to @Stand4Heroes when you do.  Support our veterans!,Fri Nov 06 00:27:18 +0000 2015,en,250,False,99,False,,Mark Teixeira,teixeiramark25
"A huge thanks to @BBGTradebook for hosting Harlem RBI at their annual #TBKCharityDay, we were honored to be a part of such a special day!",Wed Nov 04 23:41:00 +0000 2015,en,17,False,62,False,,Mark Teixeira,teixeiramark25
RT @HarlemRBI: “@BBGTradebook: .@teixeiramark25 talking on behalf of @HarlemRBI at #TBKCharityDay https://t.co/T526gjL4XT” Thank you for yo…,Wed Nov 04 18:50:53 +0000 2015,en,15,False,0,False,,Mark Teixeira,teixeiramark25
Great player. Great teammate. Congrats on an amazing career @toriihunter48 and enjoy retirement!,Tue Oct 27 10:54:44 +0000 2015,en,88,False,294,False,,Mark Teixeira,teixeiramark25
"RT @espn: More CFB madness!

Georgia Tech blocks unbeaten Florida State's FG, returns it for a walk-off TD in Atlanta! WATCH https://t.co/e…",Sun Oct 25 02:34:24 +0000 2015,en,4588,False,0,False,,Mark Teixeira,teixeiramark25
