Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Where we are now: ""Moving on from mobile/social, video being played out, not yet clear what is next big thing."" https://t.co/sgkiB3FRZc",Mon May 02 13:46:06 +0000 2016,en,0,False,2,False,,tobias peggs,tobiaspeggs
@mbaratz would love to hear those answers...,Sun May 01 00:43:49 +0000 2016,en,0,False,2,False,,tobias peggs,tobiaspeggs
"@bbc606  it diminishes excitement of EPL, viewing figures will drop. ...2/2 thanks for reading! #COYS",Sat Apr 30 18:52:53 +0000 2016,en,0,False,1,False,,tobias peggs,tobiaspeggs
@bbc606 short-sighted to say EPL shouldn't help clubs in CL. If 4 clubs becomes 3 (cos players tired and we lose coefficient ranking)... 1/2,Sat Apr 30 18:52:14 +0000 2016,en,0,False,1,False,,tobias peggs,tobiaspeggs
@shericollins512 do you know @TaubenbergerAl? I want to talk with him about vertical farming in Philly...,Sat Apr 30 18:25:20 +0000 2016,en,1,False,1,False,,tobias peggs,tobiaspeggs
@auerbach my wife's start page. 😱 https://t.co/prCTbNuaWi,Sat Apr 30 01:46:44 +0000 2016,en,0,False,0,False,,tobias peggs,tobiaspeggs
"So good to hear Mike dropping product knowledge bombs here right and left. Man, I miss hearing that every day! https://t.co/ry7dQxPBgv",Fri Apr 29 23:14:46 +0000 2016,en,0,False,1,False,,tobias peggs,tobiaspeggs
@TaubenbergerAl great to see your support for #verticalfarming https://t.co/vKODoyxm4s Would love to chat about what we're doing @thekitchen,Fri Apr 29 13:29:40 +0000 2016,en,0,False,0,False,,tobias peggs,tobiaspeggs
.@LCFC might win the #EPL tomoro (and i'll be applauding) but we've got Poch... until 2021! #COYS #nextyearisours https://t.co/hrP3UjfDh2,Fri Apr 29 13:02:47 +0000 2016,en,0,False,0,False,,tobias peggs,tobiaspeggs
@lukemckeehan ha ha. That was the most buzzword-compliant press release i've ever read ;-),Fri Apr 29 12:47:05 +0000 2016,en,0,False,0,False,,tobias peggs,tobiaspeggs
.@EatHomemade now in Philly! Huge write up here https://t.co/wHsrORSR92 #CommunityThroughFood 👨‍👩‍👧‍👦🍰,Fri Apr 29 12:46:11 +0000 2016,en,1,False,1,False,,tobias peggs,tobiaspeggs
Yup. https://t.co/02TqKXHRD5,Thu Apr 28 18:17:27 +0000 2016,und,0,False,1,False,,tobias peggs,tobiaspeggs
@NeilCocker @john_rostron @theGLC no. It took John so long to get to the printers that that issue has just been published. Ha ha ;),Wed Apr 27 14:20:30 +0000 2016,en,0,False,3,False,,tobias peggs,tobiaspeggs
