Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@nabeel those who have the money and mechanics to back a third-party candidate have done the math and concluded it's not viable.,Wed May 04 18:40:05 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
Shocking the velocity of this fire.  Thinking of residents and the brave folks who are fighting this blaze. https://t.co/DPYAfym9Wu,Wed May 04 03:20:39 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
The Oracle and the Jedi are powerless without the person they want to help having a fast rate of learning &amp; humility https://t.co/MSHTFzLDnO,Tue May 03 17:10:31 +0000 2016,en,0,False,1,False,,tomwilliams,tomwilliams
"RT @LucasFoxNews: US Navy SEAL was service member killed in ISIS attack about 20 miles north of Mosul, Iraq today, US defense official.",Tue May 03 16:27:44 +0000 2016,en,8,False,0,False,,tomwilliams,tomwilliams
"Well now they are.  Thanks, Obama https://t.co/wRTyQkxJ4x",Sun May 01 00:07:39 +0000 2016,en,0,False,1,False,,tomwilliams,tomwilliams
@davevasen I remember our first meeting like yesterday. Thanks to @webwright for eTro'ing! Thanks to @twitter for making both possible!,Sat Apr 30 19:06:10 +0000 2016,en,0,False,1,False,,tomwilliams,tomwilliams
"Finally, a political campaign I can really get behind: https://t.co/oYVDre6b6m",Sat Apr 30 17:09:54 +0000 2016,en,1,False,2,False,,tomwilliams,tomwilliams
"Thanks to the city of New Orleans and it's beautiful people. 1 of the kindest, most hospitable cities I've ever traveled to. #CollisionConf",Sat Apr 30 17:05:31 +0000 2016,en,0,False,2,False,,tomwilliams,tomwilliams
So proud of @davevasen for holding his own and bringing @mcuban and @sacca on board.   https://t.co/4HmXtKnDft,Sat Apr 30 15:23:40 +0000 2016,en,1,False,5,False,,tomwilliams,tomwilliams
"RT @brightwheel: Hours until @davevasen heads into the #SharkTank, taking time to remember why we built @brightwheel! @ABCSharkTank https:/…",Fri Apr 29 23:15:12 +0000 2016,en,3,False,0,False,,tomwilliams,tomwilliams
. @brightwheel on #ABCSharkTank tonight at 9pm.  Amazing product for schools &amp; families. https://t.co/uofUMqywkn #ProudInvestor,Fri Apr 29 19:52:36 +0000 2016,en,1,False,2,False,,tomwilliams,tomwilliams
Gold. https://t.co/yd1HEmatTC,Thu Apr 28 16:31:22 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
A good start  https://t.co/5eVsi4sDi6,Thu Apr 28 14:42:58 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
@Uber_Support have had multiple issues with your Fort Lauderdale drivers and support team. Feeling really frustrated. Please help.,Thu Apr 28 14:22:58 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
@Uber have had multiple issues with Fort Lauderdale drivers and customer support. WAY below the norm.  Please help,Thu Apr 28 14:21:15 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
This is quite the read  https://t.co/nILt2984hn,Thu Apr 28 13:41:38 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
RT @AndreaMcKinlay: Please listen to this. Migrants are people  and we need to wake up to human rights abuses being commited. #australia ht…,Thu Apr 28 13:28:54 +0000 2016,en,2,False,0,False,,tomwilliams,tomwilliams
"RT @lisa_jaster: The Army has another first. Congrats to my Ranger sister. #RLTW  @USArmy 

https://t.co/Tu17HF0492",Thu Apr 28 01:16:46 +0000 2016,en,100,False,0,False,,tomwilliams,tomwilliams
RT @JeffersonObama: CNN failed to disclose that Gen. Flynn is Trump's chief miltary advisor before letting him trash Admin @TheLeadCNN http…,Wed Apr 27 22:06:29 +0000 2016,en,72,False,0,False,,tomwilliams,tomwilliams
That is beyond absurd.   https://t.co/0jziLvqOKF,Wed Apr 27 22:02:37 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
"If large publicly traded companies can learn, set and execute people strategy, no excuses for mid-market #IMPACTHR https://t.co/tdVxLl4Qyf",Wed Apr 27 18:22:25 +0000 2016,en,0,False,1,False,,tomwilliams,tomwilliams
"Inspiring to hear that design-thinking drove formation of People Strategy for Kaiser-Permanente and NCR, two massive companies #IMPACTHR",Wed Apr 27 18:20:03 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
@BrettElmgren are you here at the conference?  Would love to talk to you about that (fellow Canadian too),Wed Apr 27 18:14:36 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
"""Hairball"" and ""pile of bright shiny objects"" two ways that HR tech has been described in this session. A humbling reminder #IMAPCTHR",Wed Apr 27 16:03:04 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
Instagram is a huge opportunity to attract new candidates. @jterryrecruit shares AT&amp;T's https://t.co/zKkwjZH40g #IMPACTHR,Wed Apr 27 14:32:31 +0000 2016,en,3,False,3,False,,tomwilliams,tomwilliams
. @jterryrecruit sharing her experiences improving AT&amp;T candidate attraction process at #IMPACTHR They used mystery shoppers in interviews.,Wed Apr 27 14:24:02 +0000 2016,en,1,False,4,False,,tomwilliams,tomwilliams
Good news. https://t.co/snszTKLz75,Wed Apr 27 12:13:32 +0000 2016,en,0,False,2,False,,tomwilliams,tomwilliams
@ToddDunlop congrats @mwilliams20,Wed Apr 27 01:13:18 +0000 2016,en,0,False,1,False,,tomwilliams,tomwilliams
@CiC_Raleen are you here at Impact?  Would love to connect!,Tue Apr 26 18:33:01 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
RT @alliancebook: @ReidHoffman: How To Manage Talent in the Networked Age https://t.co/iZCdAufHY0,Tue Apr 26 16:42:16 +0000 2016,en,18,False,0,False,,tomwilliams,tomwilliams
"Arun Chidambaram of Pfizer just used the term ""Spiritual Turnover"" for people still working at a company but no longer engaged #IMPACTHR",Tue Apr 26 14:57:19 +0000 2016,en,1,False,1,False,,tomwilliams,tomwilliams
"Fantastic summary by @Josh_Bersin  ""We have to think about our job [HR] as the Employee Experience Department"" #IMPACTHR",Tue Apr 26 13:41:43 +0000 2016,en,13,False,15,False,,tomwilliams,tomwilliams
So happy to see Plastiq featured in the App Store. Happy customer… https://t.co/wqoSnnkMFk,Tue Apr 26 10:26:28 +0000 2016,en,0,False,1,False,,tomwilliams,tomwilliams
@annawiener fantastic writing.  Would love to connect to get some feedback from you about a new initiative of BetterCompany related to this,Mon Apr 25 21:58:39 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
"RT @house: This is a masterpiece. On the surreality of working in Silicon Valley, by @annawiener: https://t.co/0ifgmDXm3H https://t.co/NaPq…",Mon Apr 25 21:57:10 +0000 2016,en,169,False,0,False,,tomwilliams,tomwilliams
RT @Tmgneff: Breakdown of gear U.S. Special Operations Forces are using in Syria https://t.co/4k3Nxs8DNJ h/t @AbraxasSpa @green_lemonnn,Mon Apr 25 15:52:19 +0000 2016,en,65,False,0,False,,tomwilliams,tomwilliams
Did @davevasen to the whole pitch sitting down like that? I hope so.   https://t.co/pu0YHj2tLw,Mon Apr 25 01:01:23 +0000 2016,en,1,False,4,False,,tomwilliams,tomwilliams
"Lol that is the smartest lead-gen idea I've seen in a while.  Hey, waiting to hear from you on that thing :) https://t.co/UQhGCk3sVy",Mon Apr 25 01:00:26 +0000 2016,en,0,False,1,False,,tomwilliams,tomwilliams
#Endorsed https://t.co/hr3r5vl9se,Mon Apr 25 00:58:49 +0000 2016,und,0,False,2,False,,tomwilliams,tomwilliams
@emily_k_grimes thanks Emily. I wrote that tweet to you from our BC account. Glad that resonated.,Mon Apr 25 00:57:47 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
So true.  https://t.co/aFCnRxvhcR,Mon Apr 25 00:57:06 +0000 2016,en,0,False,0,False,,tomwilliams,tomwilliams
