Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@jenatskype,Wed Feb 27 16:08:21 +0000 2013,und,1,False,2,False,,Tony Bates,tonyatskype
"RT @SteveCase: A Bold New Blueprint For Happy Families http://t.co/IlmO9M0q @BruceFeiler: ""What's the secret to happy family? Try.""",Wed Feb 20 03:09:09 +0000 2013,en,15,False,0,False,,Tony Bates,tonyatskype
".@jwdye81 Yes, the replay of my #lyncconf13 keynote is available at http://t.co/cSt13rIX.",Wed Feb 20 01:32:36 +0000 2013,en,1,False,1,False,,Tony Bates,tonyatskype
@my360sync @skype4biz link should be okay now thanks!,Wed Feb 20 01:19:42 +0000 2013,en,0,False,0,False,,Tony Bates,tonyatskype
"RT @Skype: Looking forward to tomorrow's keynote from @Skype CMO @ElisaSteele, LIVE at 4:30 PM PT. Watch webcast at http://t.co/lcbbRabo ...",Wed Feb 20 01:14:52 +0000 2013,en,20,False,0,False,,Tony Bates,tonyatskype
Missed my keynote address at #LyncConf? Check out my blog recap here on 'the future of communications'http://t.co/4thTQ90X,Tue Feb 19 19:55:07 +0000 2013,en,18,False,3,False,,Tony Bates,tonyatskype
Lync13 is connecting with Skype.  This is about empowering your organization to be more empowered and connected. #lyncconf,Tue Feb 19 17:29:35 +0000 2013,en,17,False,3,False,,Tony Bates,tonyatskype
Excited and honored to be a keynote speaker for @MsftLync now.  Join the webcast at http://t.co/43RHCo5i #LyncConf13.,Tue Feb 19 17:07:34 +0000 2013,en,10,False,1,False,,Tony Bates,tonyatskype
Thanks #TEAMPolycom for inviting me to join via @MsftLync.  Enjoyed talking about the future of collaboration and communications w/ you,Wed Feb 06 19:05:14 +0000 2013,en,8,False,1,False,,Tony Bates,tonyatskype
Check out my views on the power of technology to bring the world closer together http://t.co/enrLh14z,Tue Dec 11 01:49:57 +0000 2012,en,4,False,1,False,,Tony Bates,tonyatskype
Looking forward to tomorrow speaking at #SIS12 to talk social good with @socinnovation leaders from every sector. http://t.co/4T8HkSRO,Tue Dec 04 20:13:22 +0000 2012,en,2,False,1,False,,Tony Bates,tonyatskype
"RT @Skype We're proud to welcome Skype for Windows 8! It's fast, easy to use and beautiful: http://t.co/6N0mlYCU",Mon Oct 22 13:09:38 +0000 2012,en,16,False,0,False,,Tony Bates,tonyatskype
