Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @ForbesTechCncl: How Companies Can Leverage Real-Time Platforms &amp; Metadata to Improve Healthcare Delivery by @ttolvane @BetterDoctor htt…,Sat Apr 30 06:07:54 +0000 2016,en,3,False,0,False,,Tapio Tolvanen,ttolvane
"RT @nikebasketball: Always love the hate. #MambaDay
https://t.co/oqWHZi6Amv",Thu Apr 14 02:07:12 +0000 2016,en,128797,False,0,False,,Tapio Tolvanen,ttolvane
RT @ForbesTechCncl: How to Speed Up Your Product Development (Without Sacrificing Quality) https://t.co/20IiccWejw @imightbeAmy @Tim_Maliyi…,Tue Apr 12 16:53:58 +0000 2016,en,8,False,0,False,,Tapio Tolvanen,ttolvane
Luck is to renew one's driver's license online.,Sun Apr 10 01:18:21 +0000 2016,en,0,False,1,False,,Tapio Tolvanen,ttolvane
RT @BetterDoctor: “ProofPoint offers the most robust and regularly verified doctor data in the marketplace.” - @ttolvane https://t.co/5HUuJ…,Sat Apr 09 15:20:20 +0000 2016,en,1,False,0,False,,Tapio Tolvanen,ttolvane
"RT @BetterDoctor: “#HIMSS16 signaled the deep need for higher quality doctor data.” - @ttolvane, our Co-Founder &amp; CTO via @BeckersHR  https…",Sat Apr 09 15:20:08 +0000 2016,en,1,False,0,False,,Tapio Tolvanen,ttolvane
RT @ForbesTechCncl: When to Build a Tool In-House vs. When to Use an Outside Vendor https://t.co/BIR8eTWLLn by @ttolvane @katzboaz @WowWeeW…,Sat Apr 09 15:19:10 +0000 2016,en,4,False,0,False,,Tapio Tolvanen,ttolvane
@united UA207 21FEB16,Mon Feb 22 15:43:16 +0000 2016,in,0,False,0,False,,Tapio Tolvanen,ttolvane
A surprise from the pilots on @united flight. Nice touch. https://t.co/le85LQ0aI0,Mon Feb 22 15:28:21 +0000 2016,en,0,False,1,False,,Tapio Tolvanen,ttolvane
So cold in Cupertino that hot water pipes froze over night. #calhorror https://t.co/bdwp1Tlcga,Sun Dec 27 19:57:22 +0000 2015,en,0,False,0,False,,Tapio Tolvanen,ttolvane
Lean thoughts for healthcare by @ericries at #SHSMD15 http://t.co/C59206Ns7a,Tue Oct 13 20:04:02 +0000 2015,en,0,False,0,False,,Tapio Tolvanen,ttolvane
@kevinolearytv at #SHSMD15 http://t.co/lpZES5Bqqw,Tue Oct 13 17:05:00 +0000 2015,und,0,False,0,False,,Tapio Tolvanen,ttolvane
