Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@camsell59 Loved The Stuff of Life! Thot you'd be interested in Throwmotion cricket. https://t.co/njtR6GjQ2S,Mon Mar 14 18:46:35 +0000 2016,en,2,False,2,False,,umairkhan,umairkhan
"All sold out?! Forget Tesla model X, this is the hottest waitlist. #MakeDonaldDrumpfAgain https://t.co/eotLFFaQcR",Tue Mar 01 05:46:41 +0000 2016,en,0,False,1,False,,umairkhan,umairkhan
#MakeDonaldDrumpfAgain : https://t.co/xQyLW1zY2m,Tue Mar 01 05:13:33 +0000 2016,und,0,False,0,False,,umairkhan,umairkhan
LUXE valet app was a Lifesaver in rainy SF! Use my Luxe promo code UMAIR2 for a $20 credit on your park: get app at https://t.co/hee8XDzqqY,Fri Jan 29 23:14:22 +0000 2016,en,0,False,0,False,,umairkhan,umairkhan
@iamjohnoliver Bravo on the Syrian refugee/Najeen Mustafa show. Greatest ending ever. Even better than Princess Bride: Inconceivable!,Tue Nov 03 05:14:01 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
@iamjohnoliver : Last Week Tonight is the greatest thing since Andy Zaltzman invented sliced bread,Tue Nov 03 05:08:14 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
"RT @LastWeekTonight: A couple of points...
1. Yes, we have a boring show.
2. At no point did we invite Donald Trump to appear on it.
https:…",Tue Nov 03 05:06:28 +0000 2015,en,14990,False,0,False,,umairkhan,umairkhan
"RT @bruce_arthur: Late, but John Oliver on the refugee crisis is typically excellent. https://t.co/R7I1iPjPwA",Tue Nov 03 04:43:10 +0000 2015,en,25,False,0,False,,umairkhan,umairkhan
RT @HCFellows: #TBT to trust falls with the 2008 Twelfth Knights Class of @HCFellows! http://t.co/P57CdceFEt,Mon Oct 26 22:55:05 +0000 2015,en,1,False,0,False,,umairkhan,umairkhan
Superheroes cleaning windows at a children's hospital https://t.co/qmRrWBRsyA,Tue Aug 11 19:49:25 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
"@TheDailyShow 
7. Thank you, Jon. To us, you were perfect.  We are all Jon Stewart. 
 #JonVoyage #IAmJonStewart #ThankYouJon",Fri Aug 07 21:19:56 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
"@TheDailyShow 
6. It's over...(whimper)...it's all over...(sniff)... nothing matters....darkness descends....might as well vote Republican",Fri Aug 07 21:19:26 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
"@TheDailyShow 
5.  Was it us? I swear we were just kidding with the Trump-Fangirling...Please, Jon... Dear God, what have we done!",Fri Aug 07 21:19:11 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
"@TheDailyShow 
3. HELL NO! OH NO YOU DON'T! COME BACK NOW, JON!
4. Just 1 more year, Jon: just til Nov '16- we've got Trump 'n stuff u like",Fri Aug 07 21:18:46 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
"@TheDailyShow 7 Stages of Grief post Jon: 
1. Noooooooooooooo! No! No! No! No! No...No.
2. Say it ain't so, Jon! You'll pull a Leno, right?",Fri Aug 07 21:17:28 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
"Amazing week at Aspen Action Forum! Liberty Fellows, David Brooks talk, McNulty prize were the highlights. #AGLN rocks!  #AspenActionForum",Mon Aug 03 16:41:52 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
"United delays flight, makes us wait 3 hrs on runway, then cancels, then deplanes us then magically uncancels. #unitedworstairlinefriendly",Sat Aug 01 04:09:14 +0000 2015,en,0,False,0,False,,umairkhan,umairkhan
RT @folio_3: Forget PIN codes! Get @MeetingMogulApp &amp; dial any #conferencecall #onlinemeeting with 1 Touch http://t.co/Keu4Qv4Ftn http://t.…,Thu Jun 04 07:34:36 +0000 2015,en,1,False,0,False,,umairkhan,umairkhan
RT @edutopia: Let’s revisit the overall goal: http://t.co/LkKEufAiQt. http://t.co/5vINgqDrAc,Thu Jun 04 07:34:15 +0000 2015,en,1470,False,0,False,,umairkhan,umairkhan
"RT @HCFellows: #TBT to the 2008 Twelfth Knights class #NewYork City reunion in May 2012, feat. the wonderful Keith Berwick! http://t.co/BdD…",Wed May 13 18:57:19 +0000 2015,en,2,False,0,False,,umairkhan,umairkhan
"Good on you, Aus: you were clinical, brilliant and utterly unlovable. NZ: you did your nation proud. #worldcup2015",Sun Mar 29 17:09:37 +0000 2015,en,0,False,1,False,,umairkhan,umairkhan
"Dear Leonard Nimoy: While you lived, long we prospered.
Rest in Peace, Spock. #leonardnimoy",Sat Feb 28 06:48:44 +0000 2015,en,1,False,0,False,,umairkhan,umairkhan
@getlinkked love the concept! Good luck and all success!,Sat Jan 31 20:48:08 +0000 2015,en,1,False,0,False,,umairkhan,umairkhan
"Sign at Sufi Coffee in Mountain View, CA: Money will not buy you Courtesy and Respect, but Courtesy can.",Tue Aug 19 00:17:54 +0000 2014,en,0,False,0,False,,umairkhan,umairkhan
Pl do not spam me. I have unfollowed you,Mon Mar 03 02:17:01 +0000 2014,en,0,False,0,False,,umairkhan,umairkhan
