Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
The new @sketchapp Symbols workflow is amazing. #highfive,Mon May 02 23:17:23 +0000 2016,en,0,False,0,False,,Matthew Anderson,wanderingmatt
YES! #mnwild,Sat Apr 23 04:45:38 +0000 2016,und,0,False,0,False,,Matthew Anderson,wanderingmatt
Overtime. A good source of stress. #mnwild #fb,Sat Apr 23 04:27:14 +0000 2016,en,0,False,0,False,,Matthew Anderson,wanderingmatt
"Strong comeback tonight, boys! You had me worried there for a minute! #mnwild #fb",Tue Apr 19 03:24:56 +0000 2016,en,0,False,1,False,,Matthew Anderson,wanderingmatt
Spring is in the air. #daisybeard @ Lake Sammamish State Park https://t.co/qLOd37snqT,Mon Apr 18 16:21:04 +0000 2016,en,0,False,1,False,"{'type': 'Point', 'coordinates': [-122.05986111, 47.55983333]}",Matthew Anderson,wanderingmatt
Monday is new tires day! Tuesday is coilover kit and APR tune day! #GTI #fb,Fri Apr 15 20:39:31 +0000 2016,en,0,False,1,False,,Matthew Anderson,wanderingmatt
"Well, we did it. We played Firewatch and talked about it. https://t.co/q33fIJyJ6q",Mon Apr 04 21:00:42 +0000 2016,en,1,False,1,False,,Matthew Anderson,wanderingmatt
"RT @chipsnbits: A beautiful art style, incredible voice acting, a compelling narrative — does Firewatch have it all? https://t.co/IJ2UfQyqpX",Mon Apr 04 21:00:28 +0000 2016,en,1,False,0,False,,Matthew Anderson,wanderingmatt
Just another beautiful day in Seattle! #drumpf @ Kerry Park https://t.co/4d2ES2dJp5,Fri Apr 01 02:11:57 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-122.35941667, 47.62961111]}",Matthew Anderson,wanderingmatt
"So proud, Washington. So, so proud. #feelthebern #fb",Sat Mar 26 23:38:37 +0000 2016,en,0,False,1,False,,Matthew Anderson,wanderingmatt
"The Wild win again! Next up, Bernie! #fb",Sat Mar 26 21:45:41 +0000 2016,en,0,False,1,False,,Matthew Anderson,wanderingmatt
Dropped two citizens off at their caucus site so they didn’t have to find parking. #canadian #fb,Sat Mar 26 16:52:26 +0000 2016,en,0,False,1,False,,Matthew Anderson,wanderingmatt
@tomcarmony — Slightly better than I anticipated. Slightly.,Fri Mar 25 05:55:56 +0000 2016,en,0,False,1,False,,Matthew Anderson,wanderingmatt
Let’s see if Batman v Superman is as bad as the trailer looks! #fb,Fri Mar 25 03:04:39 +0000 2016,en,0,False,1,False,,Matthew Anderson,wanderingmatt
Wow. @ThatDudeDubnyk was off his ass tonight! #mnwild,Wed Mar 23 03:15:41 +0000 2016,en,1,False,5,False,,Matthew Anderson,wanderingmatt
First spider web across the face of the year. That’s gotta be a new record. #fb,Sun Mar 20 16:07:51 +0000 2016,en,0,False,2,False,,Matthew Anderson,wanderingmatt
It sure would be amazing if Bernie could pull this off. #fb,Wed Mar 09 05:39:46 +0000 2016,en,0,False,1,False,,Matthew Anderson,wanderingmatt
"We collect yet another version of Assassin's Creed — which puts us right around 608,546 collectibles. https://t.co/dAsV23Vbyg",Mon Mar 07 18:21:15 +0000 2016,en,0,False,0,False,,Matthew Anderson,wanderingmatt
RT @chipsnbits: A prolific franchise pulls us back in with a grappling hook! Did it hurt? Find out in this month's episode. https://t.co/ma…,Mon Mar 07 18:20:31 +0000 2016,en,1,False,0,False,,Matthew Anderson,wanderingmatt
The hills are alive. @ Desert Botanical Garden https://t.co/isrRInZswy,Tue Mar 01 23:36:54 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-111.94475579, 33.46146548]}",Matthew Anderson,wanderingmatt
Natureoptics. @ Desert Botanical Garden https://t.co/42ksUMbV5E,Tue Mar 01 23:35:16 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-111.94475579, 33.46146548]}",Matthew Anderson,wanderingmatt
Found at a deserted shopping center in the middle of the desert. @ El Pedregal Shopping Mall https://t.co/ozVs0TmS08,Tue Mar 01 02:24:19 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-111.92679768, 33.79831664]}",Matthew Anderson,wanderingmatt
Tail end of the sunrise. https://t.co/9e4tt4tKk9,Thu Feb 11 19:32:52 +0000 2016,en,0,False,0,False,,Matthew Anderson,wanderingmatt
"If I could change one thing about @Spotify, it would be to unify the play queues across devices!",Tue Feb 02 22:29:58 +0000 2016,en,0,False,0,False,,Matthew Anderson,wanderingmatt
"Back in the podcasting saddle, discussing the wonderful #LifeIsStrange from @DONTNOD_Ent! https://t.co/mNuDw4iV0V",Mon Feb 01 18:26:10 +0000 2016,en,1,False,0,False,,Matthew Anderson,wanderingmatt
RT @chipsnbits: Remember being a teenager who could rewind time? This month we discuss #LifeIsStrange from @DONTNOD_Ent! https://t.co/p4eeT…,Mon Feb 01 18:25:49 +0000 2016,en,1,False,0,False,,Matthew Anderson,wanderingmatt
@pennig — You can find it on the load screen.,Fri Jan 29 19:18:41 +0000 2016,en,0,False,0,False,,Matthew Anderson,wanderingmatt
100 puzzles into The Witness…might need a new brain.,Fri Jan 29 05:05:09 +0000 2016,en,0,False,2,False,,Matthew Anderson,wanderingmatt
My favorite songs of 2015. The list was pretty small this year. ♫ https://t.co/EysALG2rOV,Tue Jan 26 00:22:59 +0000 2016,en,0,False,0,False,,Matthew Anderson,wanderingmatt
"If you haven’t watched this yet, please do. I wish all political discourse in the United States was this inspired... https://t.co/nFsZQkm6Bd",Sat Jan 16 04:10:30 +0000 2016,en,17,False,20,False,,Matthew Anderson,wanderingmatt
Finally going to see the new Star Wars tonight! #fb,Sun Dec 27 05:12:52 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
"OK, this car alarm has been going off for an hour now… #fb",Thu Dec 24 07:07:35 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
Did I miss all of the great music this year? #fb,Mon Nov 30 17:31:28 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
You’d think I’ve barely worked out this month. #fb,Tue Nov 10 01:45:45 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
"I've been in Australia, so you get to learn about the last Chips &amp; Bits podcast of the season from me a day late! https://t.co/py3OSQhrMl",Tue Nov 03 18:48:14 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
Map marker. @ Burrows Park https://t.co/8YQeVkK2I4,Mon Nov 02 21:52:56 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [151.26974457, -33.91320192]}",Matthew Anderson,wanderingmatt
Leaning into it. @ Tamarama Beach https://t.co/W3tbI2gTUk,Mon Nov 02 21:50:35 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [151.27035694, -33.89980923]}",Matthew Anderson,wanderingmatt
Ultimate Selfie™ @ Marks Park https://t.co/BLFuR4TUQI,Mon Nov 02 21:47:58 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [151.27520879, -33.89861665]}",Matthew Anderson,wanderingmatt
Putting your public pools to shame. @ Bondi Icebergs Club https://t.co/FcMKxWZmOA,Mon Nov 02 21:41:02 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [151.2738647, -33.8946495]}",Matthew Anderson,wanderingmatt
They were streaming the entire Vampire Weekend album. @ Manchester Press https://t.co/j5lyjBIKZk,Sat Oct 31 17:05:52 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.96215242, -37.81374288]}",Matthew Anderson,wanderingmatt
Waiting on a tram. @ Jacks Barbers https://t.co/u32657H7Bh,Sat Oct 31 17:03:37 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.97212175, -37.81165171]}",Matthew Anderson,wanderingmatt
High alien activity ahead. https://t.co/2zHu6AY2Gf,Sat Oct 31 17:02:21 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
Cheese through this window. @ Spring Street Grocer https://t.co/3UfrNgQlsP,Sat Oct 31 16:59:37 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.97279689, -37.8110462]}",Matthew Anderson,wanderingmatt
"Graffiti creature. @ Hosier and Rutledge Lane, Opposite Federation Square https://t.co/uwHns5nE2x",Fri Oct 30 02:49:42 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.9674513, -37.8170325]}",Matthew Anderson,wanderingmatt
"Free calls. @ Hosier and Rutledge Lane, Opposite Federation Square https://t.co/X90y9S7g3Z",Fri Oct 30 02:44:56 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.9674513, -37.8170325]}",Matthew Anderson,wanderingmatt
Bondi Beach is worthy of the hype! #fb,Thu Oct 29 00:27:44 +0000 2015,en,0,False,1,False,,Matthew Anderson,wanderingmatt
Cacti reflector. @ Royal Botanic Gardens Victoria https://t.co/oXTbFkRaEU,Wed Oct 28 23:41:24 +0000 2015,und,0,False,0,False,"{'type': 'Point', 'coordinates': [144.9768829, -37.8312492]}",Matthew Anderson,wanderingmatt
Wintery succulents. @ Royal Botanic Gardens Victoria https://t.co/SXdffgVXzX,Wed Oct 28 23:39:59 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.9768829, -37.8312492]}",Matthew Anderson,wanderingmatt
Cacti row. @ Royal Botanic Gardens Victoria https://t.co/nybzTfY7ZP,Wed Oct 28 23:09:04 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.9768829, -37.8312492]}",Matthew Anderson,wanderingmatt
Trying to take one of those cool wallpaper shots. @ Royal Botanic Gardens Victoria https://t.co/gzmJ1Of1Xw,Wed Oct 28 23:07:43 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.9768829, -37.8312492]}",Matthew Anderson,wanderingmatt
Melbourne ✈️ Sydney #laststop #fb,Tue Oct 27 08:40:28 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
Looking back on Melbourne. @ Shrine of Remembrance https://t.co/eXjgyb4hJD,Mon Oct 26 20:59:16 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.97288635, -37.82981009]}",Matthew Anderson,wanderingmatt
We brought ourselves here. @ Shrine of Remembrance https://t.co/D2YA6ldYgL,Mon Oct 26 20:52:00 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.97288635, -37.82981009]}",Matthew Anderson,wanderingmatt
King for an afternoon. @ Kings Domain https://t.co/Mz1vMOG87b,Mon Oct 26 20:48:40 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [144.99312802, -37.83906184]}",Matthew Anderson,wanderingmatt
House guest for the next few days. https://t.co/1C9TiX3J8D,Sun Oct 25 00:24:38 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
"Palette mixing. @ The Gorge, North Stradbroke Island https://t.co/uTSU8TvcOR",Sat Oct 24 02:55:27 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [153.54374812, -27.43341164]}",Matthew Anderson,wanderingmatt
"Achieving a trance-like state. @ Point Lookout, Queensland https://t.co/lJNs6Geh0e",Sat Oct 24 02:51:43 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [153.542, -27.4358]}",Matthew Anderson,wanderingmatt
"Listening to the waves crash. @ Point Lookout, Queensland https://t.co/ffhXVOTnNl",Sat Oct 24 02:45:39 +0000 2015,en,0,False,1,False,"{'type': 'Point', 'coordinates': [153.542, -27.4358]}",Matthew Anderson,wanderingmatt
"Commanding the waves. @ Point Lookout, Queensland https://t.co/NFcbVkY1jj",Sat Oct 24 02:39:42 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [153.542, -27.4358]}",Matthew Anderson,wanderingmatt
"Horizon on the rocks. @ Point Lookout, Queensland https://t.co/Fn1zEGP5xs",Sat Oct 24 02:36:23 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [153.542, -27.4358]}",Matthew Anderson,wanderingmatt
"Checking out the ""third-best"" island around here. @ Point Lookout, Queensland https://t.co/pO4kvzcwLH",Sat Oct 24 02:34:37 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [153.542, -27.4358]}",Matthew Anderson,wanderingmatt
Vacation beard arrived just in time for Melbourne. #fb,Fri Oct 23 01:59:08 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
All of Brisbane. @ Mt Coot-tha Lookout https://t.co/uS6EhIuorB,Thu Oct 22 22:37:06 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [152.95916495, -27.48491758]}",Matthew Anderson,wanderingmatt
Who knew kangaroos liked their necks scratched? @ Lone Pine Koala Sanctuary https://t.co/ZgnqNH2kBn,Thu Oct 22 00:45:22 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [152.96867071, -27.53420408]}",Matthew Anderson,wanderingmatt
Comparing bicep muscles. @ Lone Pine Koala Sanctuary https://t.co/4yW8HPJJHW,Thu Oct 22 00:41:59 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [152.96867071, -27.53420408]}",Matthew Anderson,wanderingmatt
Hanging around. @ Lone Pine Koala Sanctuary https://t.co/BaQ6776JLI,Thu Oct 22 00:40:02 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [152.96867071, -27.53420408]}",Matthew Anderson,wanderingmatt
Church on a hill. https://t.co/ckVTS6LuF2,Tue Oct 20 02:21:07 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
You looking at me? @ Roma Street Parkland https://t.co/pDNN0w8yK7,Tue Oct 20 02:17:54 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [153.019, -27.463]}",Matthew Anderson,wanderingmatt
Walked everywhere today. Found some amazing architecture. @ Brisbane City Hall https://t.co/3OCgmZVhs0,Tue Oct 20 02:14:00 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [153.024, -27.4688]}",Matthew Anderson,wanderingmatt
Exploring the epic riverside walking and cycling paths. https://t.co/jcAgXGqV3u,Mon Oct 19 02:38:33 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
It's jacaranda time here! https://t.co/7rJJEEoEkW,Mon Oct 19 02:36:25 +0000 2015,en,0,False,0,False,,Matthew Anderson,wanderingmatt
Hanging around in the rainforest. @ Floravilla Ice Cream Factory Daintree https://t.co/TrnevUBbME,Sun Oct 18 02:48:57 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [145.4213104, -16.2259598]}",Matthew Anderson,wanderingmatt
No shortage of beautiful and interesting natural barriers around here. @ Cape Tribulation Beach https://t.co/ROShYLKV0F,Sun Oct 18 02:45:13 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [145.46230124, -16.06938803]}",Matthew Anderson,wanderingmatt
