Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @andrewackerman: Katie Blot kicking off the #Dreamit Customer Immersion at @Blackboard https://t.co/40lhViN0K0,Wed Apr 13 19:41:25 +0000 2016,en,1,False,0,False,,stevenwelch,welchsteven
"TX+Healthcare? Attend Dell Med School's HealthCare Texas 2016, May 3-4
in ATX. https://t.co/Nmdgme8JZC #HCTX
https://t.co/37YmHWSICI",Mon Apr 11 19:45:28 +0000 2016,en,0,False,0,False,,stevenwelch,welchsteven
"#DestinationDreamit is on. 150 of the best entrepreneurs, investors and thought leaders all in one place https://t.co/kXPFQ0Y5mq",Wed Mar 30 19:26:40 +0000 2016,en,5,False,13,False,,stevenwelch,welchsteven
RT @seanmdav: Here's where things stand now in the GOP primary. Trump needs 53% of all unbound/outstanding delegates to clinch. https://t.c…,Wed Mar 16 17:00:12 +0000 2016,en,59,False,0,False,,stevenwelch,welchsteven
"#talkingtocustomers set the tone, give explicit permission to say bad thing,""you can't hurt my feelings""Allows for honest feedback @dreamit",Mon Mar 14 14:43:07 +0000 2016,en,0,False,2,False,,stevenwelch,welchsteven
#talkingtocustomers @AppCharlie is great for preparing for meetings. #sxsw @dreamit,Mon Mar 14 14:39:20 +0000 2016,en,0,False,2,False,,stevenwelch,welchsteven
"@DreamIT #talkingtocustomers @andrewackerman ""we talk to customers because we don't know what we don't know"" #sxsw",Mon Mar 14 14:34:42 +0000 2016,en,2,False,2,False,,stevenwelch,welchsteven
"@bjude @dreamit @LanetteGemmill sorry I planned on it, got caught up in a massive rain storm and traffic. I will be around all day fri-tues",Thu Mar 10 00:35:33 +0000 2016,en,0,False,1,False,,stevenwelch,welchsteven
@v_odescalchi who does he think is winning,Sun Feb 07 03:33:18 +0000 2016,en,0,False,0,False,,stevenwelch,welchsteven
@v_odescalchi thanks for streaming,Sun Feb 07 03:18:43 +0000 2016,en,0,False,0,False,,stevenwelch,welchsteven
RT @v_odescalchi: |LIVE NOW| #GOPdebate audience member #meerkat https://t.co/RTLhDca4dr,Sun Feb 07 03:15:51 +0000 2016,en,6,False,0,False,,stevenwelch,welchsteven
@kathleengurney which court is he on,Sat Jan 30 16:23:03 +0000 2016,en,0,False,0,False,,stevenwelch,welchsteven
@ryanpcooley tell Fei I said hello,Wed Jan 06 16:28:02 +0000 2016,cy,0,False,0,False,,stevenwelch,welchsteven
RT @chood531: @JoshuaBaer was just on a flight from London to Vienna and saw you In a magazine on the plane https://t.co/qNi1kTwqgg,Thu Dec 10 18:07:52 +0000 2015,en,1,False,0,False,,stevenwelch,welchsteven
RT @DreamitVentures: Entrepreneurialism defines a top VC. Humbled 2 b listed amongst the elite - https://t.co/CthFms8lxJ via @TechCrunch ht…,Fri Dec 04 23:05:32 +0000 2015,en,8,False,0,False,,stevenwelch,welchsteven
@NatGeo how can i watch the second episode of #SAINTSANDSTRANGERS online?,Fri Nov 27 20:10:58 +0000 2015,en,0,False,0,False,,stevenwelch,welchsteven
RT @DreamitVentures: 2day at #SpaceCom @avisavar @BioBots &amp; @BiomemeInc kick off Launch Health Challenge https://t.co/YezJsIXRJt https://t.…,Thu Nov 19 15:26:45 +0000 2015,en,13,False,0,False,,stevenwelch,welchsteven
RT @rrosin: BioBots: DreamIt Health turned a prototype into a business. Raised $ to create most advanced 3D printer for live tissue at 90% …,Mon Oct 26 16:02:26 +0000 2015,en,1,False,0,False,,stevenwelch,welchsteven
"RT @DreamItHealth: Sensors, Data Analytics Dominate in Latest #DreamitHealth Class via @medcitynews http://t.co/EhruatiLl6 cc @StephLBaum #…",Mon Oct 26 16:00:26 +0000 2015,fr,2,False,0,False,,stevenwelch,welchsteven
RT @safetymd: Venk @DxDriving - will bring our scientific approach to transforming global driving safety #DreamItHealth #DemoDay https://t.…,Mon Oct 26 15:09:55 +0000 2015,en,9,False,0,False,,stevenwelch,welchsteven
"#dreamithealth #demoday Car fatalities are equivalent to getting hit with two hurricane Katrina's every single day. 3,300 deaths per day",Mon Oct 26 15:08:05 +0000 2015,en,1,False,1,False,,stevenwelch,welchsteven
"@Luke_RB @JoshuaBaer Luke, thanks for asking.  The Book is ""We are all Born Entrepreneurs"".  You can find it on amazon.  Hope you enjoy it.",Mon Oct 26 14:59:53 +0000 2015,en,0,False,1,False,,stevenwelch,welchsteven
RT @IBX: 1 in 8 US women will develop breast cancer. @visexcell assesses risk in an innovative way. #dreamithealth #demoday https://t.co/Et…,Mon Oct 26 14:58:03 +0000 2015,en,8,False,0,False,,stevenwelch,welchsteven
"RT @rrosin: Neuton, tracking chronic condition data (starting with epilepsy &amp; smart watches) valuable to patients, pharma and  doctors. #Dr…",Mon Oct 26 14:54:44 +0000 2015,en,4,False,0,False,,stevenwelch,welchsteven
RT @karengg: .gmattertech concussions are the biggest problem in sports right. Almost 50% go undetected!! #dreamithealth #demoday @DreamitV…,Mon Oct 26 14:43:49 +0000 2015,en,3,False,0,False,,stevenwelch,welchsteven
@dreamitventures literally people watch demoday in tv's in another room because of such an incredible attendance,Mon Oct 26 14:15:46 +0000 2015,en,0,False,1,False,,stevenwelch,welchsteven
RT @DreamitVentures: |LIVE NOW| #DreamitHealth #DemoDay starting in 10! Watch it here live  #meerkat https://t.co/6NUfIKwCbc,Mon Oct 26 14:06:05 +0000 2015,en,7,False,0,False,,stevenwelch,welchsteven
I'm voting #NarrativeDX for best Health Tech Impact! Get your @ATXStartupAward vote in! http://t.co/URrbR9HHbH,Wed Oct 07 17:16:20 +0000 2015,en,0,False,0,False,,stevenwelch,welchsteven
|LIVE NOW| #soccer U6 #live #meerkat http://t.co/kB2ZEg5YoF,Sun Sep 13 18:03:39 +0000 2015,en,0,False,0,False,,stevenwelch,welchsteven
RT @JoshuaBaer: I'm ✈️ to London with @welchsteven on @british_airways and mentoring entrepreneurs on the flight home! Apply here -&gt; https:…,Wed Sep 02 12:42:46 +0000 2015,en,6,False,0,False,,stevenwelch,welchsteven
"RT @DreamitVentures: LOVING this @FounderLadies video from our #dreamitny startup, @getondibs! #PutASheetOnIt http://t.co/IEtE5Ng9gw #wcw #…",Wed Jul 29 19:21:55 +0000 2015,en,14,False,0,False,,stevenwelch,welchsteven
Check out johnkchin on #meerkat  this guy is incredible on the ivories. http://t.co/Zxqh9i6kAc,Sun Jul 26 00:46:53 +0000 2015,en,0,False,0,False,,stevenwelch,welchsteven
📷 @dreamitventures is now live on http://t.co/xzIYwql3wk http://t.co/l3BlvYqbEp,Fri Jul 17 16:18:13 +0000 2015,en,0,False,0,False,,stevenwelch,welchsteven
RT @benrbn: |LIVE NOW| I'm at @bloomberg's 👯👯👯 #meerkat http://t.co/c4PAvY3ura,Fri Jun 26 20:53:52 +0000 2015,en,35,False,0,False,,stevenwelch,welchsteven
@katchkats #katch,Wed Jun 10 16:53:24 +0000 2015,und,0,False,0,False,,stevenwelch,welchsteven
"|LIVE NOW| Taking my body down to -240 degrees @restorecryoaus, , @joshbaer you ready for this? #meerkat http://t.co/It17qVsIjA",Wed Jun 10 16:01:35 +0000 2015,en,1,False,5,False,,stevenwelch,welchsteven
@JoshuaBaer @1776 there is a little green out here in Steiner Ranch. @austinbillc 😀,Wed Jun 10 14:14:26 +0000 2015,en,2,False,2,False,,stevenwelch,welchsteven
"In 2 hours: Taking my body down to -240 degrees @restorecryoaus, , @joshbaer you ready for this? #meerkat http://t.co/0bZUZ2Z6St",Wed Jun 10 13:37:32 +0000 2015,en,1,False,1,False,,stevenwelch,welchsteven
