Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@jengates Just saw you on stage at FS15! Curious, what hardware/software are you using for smart home stuff?",Thu Nov 12 19:29:54 +0000 2015,en,0,False,0,False,,Warren Konkel,wkonkel
@calvinfo Thanks for https://t.co/K7cqI9pD2l How do you deploy updated docker images (task definition revisions)? Can you share your *.tf?,Fri Oct 23 22:48:14 +0000 2015,en,0,False,1,False,,Warren Konkel,wkonkel
"@MythBusters @donttrythis Have you published the unedited arial footage from the U2 episode? If not, please do! #TaxDollars",Mon Aug 03 07:37:32 +0000 2015,en,0,False,0,False,,Warren Konkel,wkonkel
@tmornini Can you share any configs/wisdom/advice from your migration?,Sat May 09 18:13:18 +0000 2015,en,0,False,0,False,,Warren Konkel,wkonkel
"@kdaigle @github The /issues endpoint requires ""public_repo"" scope. Requiring a read/write scope seems overkill for a list of public issues?",Tue Oct 07 16:14:27 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
@kdaigle @github Just emailed support. All other API endpoints seem fine but the /issues endpoint surely seems non-existent.,Tue Oct 07 00:58:13 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
Why does @GitHub API advertise functionality that doesn't exist: https://t.co/KBUdDmntec  (/issues returns 404 despite a valid access_token),Tue Oct 07 00:31:27 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
"@drizzled FYI, the Gmail app update for iPhone6 fixes font sizes but still needs landscape mode on 6 plus like Mail.app.",Mon Oct 06 18:48:39 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
@uber My driver this morning refused to leave until either he or I put in a destination address claiming a new company policy. Is this true?,Mon Oct 06 17:18:57 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
@rappo @whit537 Also http://t.co/vjlsziMoE2,Tue Apr 08 04:18:19 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
"@abatalion @micah @bpm140 @rstephens @harper: Bountysource is ""TaskRabbit + Kickstarter for Open-Source Software"". Which abandoned products?",Thu Feb 27 03:03:42 +0000 2014,en,0,False,1,False,,Warren Konkel,wkonkel
"@labusque Thanks! Quick follow up question, is this different: http://t.co/dABtEH5mQ3 ?",Tue Feb 25 01:59:27 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
"@labusque Can you define ""Service Network"" in 140 chars?",Fri Feb 21 17:34:49 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
@whit537 Let's chat about http://t.co/OUziPGoxnq,Mon Jan 06 19:50:42 +0000 2014,en,0,False,0,False,,Warren Konkel,wkonkel
"@Mail_Gun ""Routes quota (5000) exceeded for an account"" How do I increase that quota?",Mon Nov 25 03:41:28 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
@cloudinary The DELETE method supports public_ids but not GET?,Fri Nov 22 18:43:37 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
"@cloudinary Does your API support /resources/:resource_type?public_ids=x,y,z for getting info about many public_ids in one API call?",Fri Nov 22 18:28:18 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
@collectiveidea Here's a delayed_job pull request that lets you run multiple workers on a single Heroku dyno. https://t.co/S8U5SPYtvS,Thu Aug 22 19:05:24 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
@heroku Please have sales contact me about premium support. I've submitted the form on http://t.co/WwLJQoFgr0 twice now. #frustrated,Tue Aug 20 19:44:14 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
@brandur  https://t.co/dG16ytDg2y,Tue Aug 20 19:37:36 +0000 2013,und,0,False,0,False,,Warren Konkel,wkonkel
"@heroku  Is this the level of support I should expect? Seriously, what's going on here.  https://t.co/dG16ytDg2y",Fri Aug 16 18:35:25 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
@angularjs Subtle nitpick -- your logo on http://t.co/uCmx7ndCVg has a thin black line on the right.,Wed Jul 24 22:11:28 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
"@americascup #acanswers Does a jettisoned jib still count as part of the boat? Would it have been considered ""contact"" if Luna Rosa hit it?",Sun Jul 21 19:52:00 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
RT @WarrenBuffett: Warren is in the house.,Thu May 02 20:04:13 +0000 2013,en,43021,False,0,False,,Warren Konkel,wkonkel
Just created a $25 bounty to help get @ariyahidayat's @PhantomJS onto @Joyent's SmartOS -- https://t.co/vj9PqOgffJ,Tue Apr 30 22:19:04 +0000 2013,en,3,False,1,False,,Warren Konkel,wkonkel
"@PayPal Your ""new and improved"" developer sandbox is incredibly broken.  #QualityAssuranceFail",Thu Mar 14 01:57:14 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
"@tenderlove Why would a ""critical security update"" from 3.1.10 to 3.1.11 mess with non-critical mocha dependencies? #EverythingIsBroken",Thu Feb 21 04:34:43 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
"@scopejs Would you be willing to sell the twitter name ""scopejs""? I'd love to use it for a project I'm working on. How about $25 via paypal?",Fri Feb 08 21:22:05 +0000 2013,en,0,False,0,False,,Warren Konkel,wkonkel
@BlueFogMarket Please bring back the previous salmon to-go dinner with veggies. The new one with winter greens isn't nearly as good!,Thu Feb 07 04:29:08 +0000 2013,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-122.42484734, 37.79413252]}",Warren Konkel,wkonkel
RT @vmaxmert: Next opensource project – maxmertkit widget manager (like npm for css-framework). Help the project – https://t.co/ORvFV9sC,Wed Jan 30 19:06:31 +0000 2013,en,5,False,0,False,,Warren Konkel,wkonkel
@fb_engineering How many hours a year do Facebook employees spend working on open source software?,Thu Oct 25 20:17:02 +0000 2012,en,0,False,0,False,,Warren Konkel,wkonkel
