Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Solid game by @FCBayern to advance to the UCL semifinals. Super curious about semi draw now.,Wed Apr 13 21:04:03 +0000 2016,en,0,False,0,False,,Michael Zirngibl,zirngibl
"RT @interact_io: Berlin startups, apply now for @seedcamp - Europe's leading pre-seed and seed fund! Deadline is April 24th https://t.co/aH…",Wed Apr 13 11:29:52 +0000 2016,en,1,False,0,False,,Michael Zirngibl,zirngibl
Incredible game. Incredible last minute goal by my hometown boy. Incredible win in the end.… https://t.co/sY9wbhPgtt,Wed Mar 16 22:20:59 +0000 2016,en,0,False,0,False,,Michael Zirngibl,zirngibl
Mid-season opener in Hamburg with freezing temperatures. Hard-fought win but definitely worth… https://t.co/utlzuf2Tg2,Sat Jan 23 08:46:47 +0000 2016,en,0,False,0,False,,Michael Zirngibl,zirngibl
I´ll be attending the Bits &amp; Pretzels Founders Festival on 27th - 29th Sep in Munich. Wanna join? &gt; http://t.co/xWw72LV39F,Fri Aug 28 11:14:11 +0000 2015,en,0,False,3,False,,Michael Zirngibl,zirngibl
"Great week in the office, now kicking back and watching the season opener with the best soccer team… https://t.co/9pL4T6RcuY",Fri Aug 14 18:44:09 +0000 2015,en,0,False,1,False,,Michael Zirngibl,zirngibl
Exceptionally friendly customer service by #lufthansa lh2050 ground crew. Thanks!,Mon Aug 03 17:30:45 +0000 2015,en,0,False,1,False,,Michael Zirngibl,zirngibl
@BoweryCapital report on startup sales tools featuring @ringio https://t.co/S9b0Bt5LQh  New stuff coming soon from @interact_io ...,Wed Jul 22 17:48:39 +0000 2015,en,1,False,0,False,,Michael Zirngibl,zirngibl
RT @interact_io: Top of the CEO Agenda today. Build air condition - #berlin #startup style ! http://t.co/DcuGd6gE2q,Sat Jul 04 12:05:21 +0000 2015,en,4,False,0,False,,Michael Zirngibl,zirngibl
"Incredible success story, driven by excellent corporate leadership. Congrats and kudos to, Steve Trundle and the ent…https://t.co/KsiaB6UUFx",Mon Jun 29 07:21:31 +0000 2015,en,3,False,1,False,,Michael Zirngibl,zirngibl
"Grilling, chilling and world class soccer in Berlin... https://t.co/cMXiUN3Yjn",Sat Jun 06 20:03:17 +0000 2015,en,0,False,0,False,,Michael Zirngibl,zirngibl
RT @interact_io: Berlin folks. Want to meet @davemcclure and the @500Startups team? This Thursday is your chance. http://t.co/TidigSYCTR,Tue Jun 02 13:00:25 +0000 2015,en,5,False,0,False,,Michael Zirngibl,zirngibl
RT @WhiteStarVC: Here we go… The @interact_io team set for their new product launch in #Berlin http://t.co/wVJdhppU34,Wed May 13 14:54:56 +0000 2015,en,5,False,0,False,,Michael Zirngibl,zirngibl
"Startups: whether you want it or not, you’re always pitching http://t.co/zw0xhLCvMR",Wed Apr 01 13:34:15 +0000 2015,en,3,False,7,False,,Michael Zirngibl,zirngibl
RT @interact_io: Companies with a Formal Sales Process Generate More Revenue. #sales https://t.co/7VzwsEE3LF,Mon Mar 09 15:14:34 +0000 2015,en,2,False,0,False,,Michael Zirngibl,zirngibl
From $0 To $1 Million In Sales: An Early Stage Sales Blueprint http://t.co/ZmuHnIIaER,Fri Mar 06 09:50:36 +0000 2015,en,0,False,1,False,,Michael Zirngibl,zirngibl
Empower your sales reps with real-time context https://t.co/uPg0rmh39p,Wed Mar 04 14:07:12 +0000 2015,en,1,False,1,False,,Michael Zirngibl,zirngibl
RT @interact_io: Empower your sales reps with real-time context. #sales #tool #tech http://t.co/porHysT4WD,Wed Mar 04 11:04:06 +0000 2015,en,2,False,0,False,,Michael Zirngibl,zirngibl
"RT @interact_io: Happy team, happy company: interview with @LudivineNiotou! #team #blog http://t.co/rMiICaMEYu",Tue Feb 24 15:09:27 +0000 2015,en,4,False,0,False,,Michael Zirngibl,zirngibl
Nice little infographic by our team about the power of building strong channel partnerships.  https://t.co/R8ZC4gFnla,Mon Feb 23 13:19:01 +0000 2015,en,1,False,2,False,,Michael Zirngibl,zirngibl
RT @interact_io: Why partnerships are great to build perfect products. #blog #CRM #tech #telephony #sales http://t.co/JDtCUICx3w,Wed Feb 18 21:17:42 +0000 2015,en,2,False,0,False,,Michael Zirngibl,zirngibl
"RT @interact_io: Mobile CRM: less dashboards, more insights. #mobile #crm #data #sales
http://t.co/XFeyQKivqG",Thu Feb 12 14:45:58 +0000 2015,en,3,False,0,False,,Michael Zirngibl,zirngibl
Unbundling CRMs into user-friendly applications http://t.co/7lHMRuf2yv,Tue Feb 10 11:25:51 +0000 2015,en,3,False,1,False,,Michael Zirngibl,zirngibl
RT @interact_io: Our international team is growing fast! #blog http://t.co/i6WG7heqNK,Wed Feb 04 11:16:41 +0000 2015,en,2,False,0,False,,Michael Zirngibl,zirngibl
Apply for @Seedcamp Week Berlin &amp; be mentored by the best in Europe. Applications close November 9th! http://t.co/9isY9jAOsP #startup,Wed Oct 22 18:43:41 +0000 2014,en,0,False,5,False,,Michael Zirngibl,zirngibl
"Every child should learn to program, but not necessarily how to code http://t.co/E4BWbHCuK1 via @guardian Great article @christianhern!",Mon Oct 20 19:48:14 +0000 2014,en,0,False,1,False,,Michael Zirngibl,zirngibl
RT @nycbrown: Congratulations to DC area #ringio on strong growth in 2014 according to Core2 Digital Footprint Data http://t.co/dwvq7GZhKP …,Fri Oct 17 13:51:59 +0000 2014,en,2,False,0,False,,Michael Zirngibl,zirngibl
"RT @ringio: ""The 3 Reasons Most #Sales#Technology#Platforms Fail"" http://t.co/zxMX80gc1O by @samaparicio http://t.co/6OtK0J49kw",Thu Oct 16 15:33:52 +0000 2014,en,1,False,0,False,,Michael Zirngibl,zirngibl
"RT @ringio: ""The Ultimate Cheat Sheet for #Sales#Technology"" http://t.co/RTM0jlkm0A by @samaparicio http://t.co/0VAFycCCKe",Wed Oct 15 07:29:58 +0000 2014,en,1,False,0,False,,Michael Zirngibl,zirngibl
Meeting of the #cloud giants. Benioff and Deutsche Telekom CEO Hoettges at #Salesforce1 in Munich today http://t.co/Im5YWPqfzq,Thu Jul 03 08:42:16 +0000 2014,de,0,False,1,False,,Michael Zirngibl,zirngibl
"RT @gruenderszene: Seedcamp-Startup: Interact.io weiß, wer am anderen Telefonende sitzt http://t.co/XVUuUSbCuU",Thu Jun 26 07:44:12 +0000 2014,de,4,False,0,False,,Michael Zirngibl,zirngibl
@interact_io featured in @gruenderszene article today. @seedcamp #crm http://t.co/CfmLEfOXeC,Thu Jun 26 07:19:15 +0000 2014,en,4,False,3,False,,Michael Zirngibl,zirngibl
We're hiring. Full-Stack Java &amp; ElasticSearch Expert (m/w) // interact.io http://t.co/Smz0IAdJg7 via @berlin_startups,Wed Jun 25 21:43:24 +0000 2014,en,0,False,2,False,,Michael Zirngibl,zirngibl
@christianhern good game. I think you were watching the 2014 world champion.  Go Germany!,Sat Jun 21 20:55:46 +0000 2014,en,0,False,0,False,,Michael Zirngibl,zirngibl
End of an Era. Spain crashes out of #WorldCup. Congrats to Chile. Big win #spachi,Wed Jun 18 21:02:20 +0000 2014,en,0,False,0,False,,Michael Zirngibl,zirngibl
Oh what a night. Hometown boy Mueller scores 3. CR7 once again does not show up. Germany 4:0 #gerpor #WorldCup,Mon Jun 16 20:14:23 +0000 2014,en,0,False,0,False,,Michael Zirngibl,zirngibl
"Great win for Italy, but kind of ironic that England loses after probably best showing at #WorldCup in long time.",Sun Jun 15 12:36:38 +0000 2014,en,0,False,0,False,,Michael Zirngibl,zirngibl
Wow. Didn't see that one coming. Congrats to my Dutch neighbours. Impressive win. #WorldCup,Fri Jun 13 21:15:08 +0000 2014,en,0,False,1,False,,Michael Zirngibl,zirngibl
Jan-Henrik Fischer of MT AG doing a live demo of @interact_io #bigdata #collaboration. Woo-hoo! http://t.co/71JO12VbAt,Mon May 05 14:37:21 +0000 2014,en,0,False,1,False,,Michael Zirngibl,zirngibl
Good friend and first mentor @karlheinzland presenting his theses on #digitaldarwinism. http://t.co/1XwXEWB05A,Mon May 05 14:05:04 +0000 2014,en,1,False,3,False,,Michael Zirngibl,zirngibl
At YouTube HQ. Glad I didn't sit on that one :) http://t.co/jcF4qmZIJ1,Fri Apr 04 02:27:50 +0000 2014,en,0,False,2,False,,Michael Zirngibl,zirngibl
interact.io (@interact_io) is hiring! Come apply at https://t.co/pAw1P2u5Xn,Sat Mar 22 14:56:18 +0000 2014,en,0,False,1,False,,Michael Zirngibl,zirngibl
