Screen Name,Name,Description,URL,Location,Time Zone,Number of Tweets,Followers Count,Following ,Listed
@desireegruber,Desiree Gruber,"CEO of @Full_Picture living at the crossroads of fashion, entertainment, technology, philanthropy & Legos (thanks to my 7 year-old son) @unicefusa @godslovenyc.",http://t.co/LOzwzygCPx,,Atlantic Time (Canada),4687,9738,1420,119
@BenMillerise,Benjamin Miller,"@Fundrise, Co-Founder and CEO",https://t.co/VeQEjYAwUv,,,4089,2766,273,184
@PeterSMagnusson,Peter S. Magnusson,"SVP Oracle Public Cloud. formerly Virtutech, Google, Snapchat. techie. entrepreneur. executive. philosopher. dad. opinions are my own.",https://t.co/KQhuZ6jtBG,San Francisco Bay Area,Pacific Time (US & Canada),633,1137,608,48
@TheBankCloud,TheBankCloud,A platform for digital banking,http://t.co/cvLZUUiaft,The Bay Area,,44,86,264,2
@jfremontsmith,Jen Fremont-Smith,"Co-Founder, Krash +
Co-founder, Smarterer",http://t.co/DQvVkG9bnt,"Boston, MA",Central Time (US & Canada),1382,2038,894,153
@AlwaysaGoodday1,Shane Johnson,"My current mission is mentoring, advising and community building.",,Eugene Oregon,Arizona,19933,1000,2017,245
@joelgascoigne,Joel Gascoigne,"Co-founder & CEO of @buffer. We're a 80 person distributed social media SaaS company with 50,000 customers, $9m revenue. My investments: https://t.co/rZzl4fWNaR",https://t.co/YlhS0cefoY,"New York, NY",Pacific Time (US & Canada),39804,58324,4933,3289
@witheiler,Matthew Witheiler,"Entrepreneur @anandtech. Operator @AMD. First early stage VC @flybridge, now late stage VC at Wellington Management. Deliverer of on-the-spot guidance.",https://t.co/X64OgfkYJX,"New York, NY",Eastern Time (US & Canada),7880,4995,975,345
@ampledata,Greg Albrecht,Co-Founder & CTO @OrionLabs. EMT. Disaster Communications Specialist. Ham: W2GMD.,https://t.co/FyaWpstOW0,"San Francisco, CA",Pacific Time (US & Canada),7681,1263,2389,76
@ClemBason,Clem Bason,CEO of goSeek and Dealbase.  Online travel fanatic.  Father of two,,San Francisco,Pacific Time (US & Canada),42,116,424,12
@daveconcannon,Dave Concannon,"Co-Founder of Hosted Graphite, infrequent tweeter.",http://t.co/JY89KOYroD,,Pacific Time (US & Canada),8920,915,887,65
@BrianAltounian,BrianAltounian,"CEO/President of WOWIO/StudioW (OTCBB:WWIO), using brand strategy in ebooks to expand the model for digital media.",http://t.co/ecmeHbamJZ,"ÜT: 34.048215,-118.39809",Pacific Time (US & Canada),4429,1209,999,37
@navneetaron,Navneet Aron,,,,,86,119,184,7
@davehod,Dave Hodson,"Serial entrepreneur (co-founded http://t.co/5HjpQeoJ, MessageCast), StartX mentor, open source, Java, social networks, cloud computing, marathons",http://t.co/nCkpMxqanJ,"Palo Alto, CA",Pacific Time (US & Canada),6338,816,793,90
@benchestnut,Ben Chestnut,Co-founder and CEO of @mailchimp (mail---kimp?). Making work fun since 2001.,http://t.co/bSkP4zCSNx,Atlanta,Eastern Time (US & Canada),2986,8211,1230,502
@ginab,Gina Bianchini,"Passionate about community building. Mightybell, Ning. Occasional Athlete, Pop Culture Connoisseur and California Native.",http://t.co/b9SUWT5yMP,"Palo Alto, CA",Pacific Time (US & Canada),7724,16855,544,1045
@welchsteven,stevenwelch,"Founder, DreamIt",http://t.co/KOdB7xAyXB,austin,Quito,459,888,147,90
@jakemgold,Jake Goldman,"President & Founder of @10up. Web strategist, engineer, entreprenuer and #WordPress fan. Rare blogger at http://t.co/krbWidJGQl.",http://t.co/QShcTdHnfl,"Roseville, CA",Pacific Time (US & Canada),6422,5145,363,411
@Protagonistweet,Matti Leshem,"Matti is Founder and CEO of Protagonist, A Brand Energy Company",http://t.co/Fcf9K0lSMG,"Los Angeles, CA",Pacific Time (US & Canada),1757,876,258,21
@vbelfor,Victor Belfor,http://t.co/KjSq7MuKq2,http://t.co/wY3elGyWMc,San Francisco,,884,868,1644,31
@charlesbeeler,Charles Beeler,"General Partner at Rally Ventures, an early stage, enterprise technology focused venture capital firm.  But that's just scratching the surface....",http://t.co/SnbYDFIAr6,California,Pacific Time (US & Canada),2208,10760,2692,323
@dweisburd,David Weisburd,Tech Entrepreneur & Writer,,"San Francisco, CA",Quito,345,400,36,23
@golubbe,Ben Golub,"CEO of Docker, Inc. --an open platform to build, ship, and run distributed applications. Former CEO of Gluster. Former CEO Plaxo.",https://t.co/7oIELFT2Cl,"California, US",Pacific Time (US & Canada),656,5268,413,188
@thuddwhirr,John Wolthuis,Co-founder & Product Architect @twilio. Reliable source of Novelty.,,"San Francisco, CA",Pacific Time (US & Canada),4545,759,266,58
@kiwiquick,Geoff Vuleta,CEO @Fahrenheit212,http://t.co/E5XAfNVrpx,,Central Time (US & Canada),1566,710,261,43
@C2cunningham,Chris Cunningham,"Chief Revenue Officer @Unacast, Founder at C2 Ventures, Investor @FrescoNews @ZenrezFitness & via @BoweryCapital. Advisor @DoodlelyOwl and @fullbottleco",https://t.co/1I6t9w9EUd,"Tribeca, NY",Eastern Time (US & Canada),2508,2648,1193,178
@nik_martin,Nik Martin,Starting a company. Fundraising. Supporting a Family.,https://t.co/iIWiGWLHhz,"Mobile, AL",Central Time (US & Canada),1030,187,387,10
@oferwald,Ofer Wald,,http://t.co/EthlVx37zx,,Jerusalem,107,19,8,1
@bencasnocha,Ben Casnocha,"Entrepreneur, Investor, Co-Author of The Startup of You and The Alliance",https://t.co/7x7VCEFURc,San Francisco,Pacific Time (US & Canada),4976,14399,935,828
@dougpepper,Doug Pepper,"VC @shasta SaaS, mobile, internet. @Marketo (MKTO), @Spredfast, @Optimizely, @Flurrymobile, @Appboy, @Tapjoy, @NewsCred",https://t.co/gVAMmoe60P,"San Francisco, CA",Pacific Time (US & Canada),1761,4341,413,317
@scollens,Steven Collens,MATTER. Pritzker Group Venture Capital. 1871. Chicago Artists Coalition. IMSA Fund. Olive.,http://t.co/rwsIf3Ga2S,Chicago,Central Time (US & Canada),436,1776,80,90
@rosenboy,Sam Rosen,"Desktime, One Design & The Post Family.",http://t.co/PL2Mo61JNc,Chicagoan,Central Time (US & Canada),7854,1760,665,129
@bachdavid,David Bach,Roll & Rock,http://t.co/GpJMbvZtHj,Nashville,Central Time (US & Canada),206,822,566,15
@armenberjikly,Armen Berjikly,"#CEO of @Kanjoya | Founder of Experience Project | Stanford CS | Angel Investor | Dad, Husband, @LAKings loon. My tweets will enhance your life in minor ways",http://t.co/SV6EroyVpP,"San Francisco, CA",Pacific Time (US & Canada),771,932,574,64
@khurana_varun,Varun Khurana,"Serial Entrepreneur, Angel Investor. Member @ianetwork. Past life: CTO @Grofers. Successfully founded and exited 2 startups - Mygreenbox, Wirkle. @IITdelhi grad",https://t.co/mC1P3pj5iy,"Gurgaon, India",New Delhi,332,393,179,23
@JamesTamplin,James Tamplin,Helping developers create extraordinary experiences (co-founder) @Firebase. Perpetual Optimist.,https://t.co/TMRVRMzB3q,California,Pacific Time (US & Canada),6465,3687,444,200
@jeffseibert,Jeff Seibert,"Sr. Director of Product @Twitter. Previously created @Fabric, co-founded/CEO, @Crashlytics (acq. by Twitter) and COO, Increo (acq. by @BoxHQ). @Stanford '08.",http://t.co/G4potA4ocu,"San Francisco, CA",Pacific Time (US & Canada),5862,7463,830,283
@garyswart,Gary Swart,"Investor, Mentor, Coach, Former CEO of oDesk",http://t.co/l8R8zSUncQ,"California, USA",Pacific Time (US & Canada),1034,4103,1265,161
